ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Kavcic B.,Duckworth J.,104,185,529,273,6,2,6,2,6,2,,,,,3,0,Completed,1.57,2.25,1.65,2.2,1.57,2.25,1.65,2.39,1.62,2.25,1.7,2.4,1.62,2.26
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Anderson K.,Marchenko I.,25,120,1420,447,6,3,7,5,6,4,,,,,3,0,Completed,1.05,11,1.05,9,1.06,8,1.06,12.5,1.08,7.5,1.08,12.5,1.05,9.71
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Sousa J.,Soeda G.,119,124,447,435,6,1,6,3,6,2,,,,,3,0,Completed,1.18,4.5,1.25,3.85,1.25,3.75,1.22,4.85,1.22,4,1.27,4.95,1.23,4.09
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Raonic M.,Malisse X.,16,56,2225,805,6,2,6,1,4,6,6,4,,,3,1,Completed,1.07,9,1.08,7.5,1.08,7.5,1.06,12.5,1.08,7.5,1.1,12.5,1.08,8.14
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Simon G.,Hewitt L.,18,86,1895,610,3,6,1,6,6,4,6,1,7,5,3,2,Completed,1.12,6,1.12,6,1.07,7.5,1.15,6.45,1.17,5,1.18,7.5,1.14,5.46
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Bautista R.,Muller G.,68,84,714,623,6,3,6,4,6,2,,,,,3,0,Completed,1.22,4,1.22,4.15,1.25,3.75,1.27,4.18,1.2,4.5,1.27,4.5,1.23,4.12
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Seppi A.,Mayer L.,22,73,1530,682,6,7,6,4,6,3,6,7,6,4,3,2,Completed,1.2,4.33,1.2,4.4,1.2,4.33,1.26,4.3,1.2,4.5,1.26,5,1.21,4.4
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Carreno-Busta P.,3,164,8000,316,6,2,6,2,6,3,,,,,3,0,Completed,1.03,15,1.05,9,1.03,11,1.04,15.5,1.04,10,1.05,19,1.03,11.94
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Querrey S.,Lacko L.,20,77,1730,667,6,3,6,4,6,4,,,,,3,0,Completed,1.2,4.33,1.22,4.15,1.2,4.33,1.22,4.85,1.22,4,1.25,4.85,1.22,4.18
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Hajek J.,Kudla D.,87,116,605,466,6,2,5,7,6,0,6,4,,,3,1,Completed,1.4,2.75,1.45,2.7,1.5,2.5,1.43,3.05,1.44,2.75,1.53,3.05,1.45,2.7
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Devvarman S.,Munoz-De La Nava D.,188,145,269,367,6,3,6,3,7,5,,,,,3,0,Completed,2.1,1.66,2.2,1.65,2,1.73,2.14,1.79,2.2,1.67,2.26,1.79,2.13,1.69
32,Paris,French Open,26/05/13,Grand Slam,Outdoor,Clay,1st Round,5,Chardy J.,Becker B.,27,97,1371,568,6,4,6,2,7,5,,,,,3,0,Completed,1.04,13,1.06,8.5,1.06,8.5,1.04,15,1.04,10,1.09,16,1.05,10.44
