ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Gil F.,23,106,1530,534,6,4,6,2,7,5,,,,,3,0,Completed,1.1,7,1.13,5.5,1.14,5,1.13,7.65,1.17,4.5,1.17,8,1.11,6.19
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Zeballos H.,38,112,1150,502,5,7,6,4,7,6,6,4,,,3,1,Completed,1.3,3.4,1.3,3.4,1.36,3,1.38,3.38,1.29,3.25,1.38,3.46,1.33,3.2
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Tipsarevic J.,Gensse A.,20,155,1740,341,6,2,7,5,6,0,,,,,3,0,Completed,1.05,11,1.05,9,1.07,7.5,1.04,16,1.07,7,1.07,16,1.05,9.79
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Harrison R.,28,66,1375,715,6,2,7,5,7,6,,,,,3,0,Completed,1.38,2.87,1.35,3.1,1.36,3,1.36,3.49,1.4,2.88,1.44,3.49,1.36,3.06
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Cipolla F.,Nishikori K.,108,46,527,915,6,4,6,2,,,,,,,2,0,Retired,5,1.16,4.25,1.2,4,1.22,5.27,1.2,3.5,1.25,5.31,1.25,4.54,1.19
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Petzschner P.,Ramos A.,67,71,715,687,7,5,6,7,6,3,6,7,6,3,3,2,Completed,1.12,6,1.16,5,1.14,5,1.16,6.3,1.17,4.5,1.2,6.33,1.15,5.22
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Malisse X.,32,50,1243,875,6,4,6,4,6,4,,,,,3,0,Completed,2.2,1.61,2.1,1.7,2.1,1.67,2.09,1.83,2.25,1.57,2.32,2.1,2.1,1.69
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Jouan R.,9,230,2690,215,6,2,7,6,6,1,,,,,3,0,Completed,1.01,21,1.02,15,1.02,11,1.02,24.52,1.03,11,1.03,29.11,1.02,15.52
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Montanes A.,61,42,751,995,7,5,6,2,3,6,7,6,,,3,1,Completed,2.1,1.66,2.2,1.65,2.2,1.62,2.24,1.73,2.1,1.67,2.25,1.75,2.13,1.67
50,New York,US Open,29/08/11,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Kamke T.,8,92,2820,580,6,2,6,2,6,1,,,,,3,0,Completed,1.03,15,1.04,10,1.05,8.5,1.04,15,1.04,9,1.05,16.34,1.03,11.26
